model,MAE,RMSE
Naive linear (current * 48/min),12.458,21.908
Linear regression,5.949,7.808
Polynomial deg 2 + ridge (global),5.727,7.613
Polynomial deg 3 + ridge (global),5.725,7.612
Polynomial deg 4 + ridge (global),5.724,7.612
Piecewise LINEAR — 2 segments (halves),5.786,7.666
Piecewise LINEAR — 3 segments (thirds),5.757,7.642
Piecewise LINEAR — 4 segments (quarters),5.743,7.628
Piecewise POLY-2 — 4 segments (quarters),5.725,7.612
Piecewise POLY-3 — 4 segments (quarters),5.722,7.608
Piecewise LIN — 2 segs (data-driven knots [32.0]),5.794,7.691
"Piecewise LIN — 3 segs (data-driven knots [24.0, 40.0])",5.755,7.651
"Piecewise LIN — 4 segs (data-driven knots [12.0, 28.0, 36.0])",5.745,7.631
"Piecewise POLY-2 — 4 segs (data-driven knots [4.0, 40.0, 44.0])",5.724,7.611
Random Forest (100 trees),6.339,8.536
Gradient Boosting (150),5.938,7.844
Bayesian shrinkage (k=12),7.047,9.555
Neural Net MLP (16-8 ReLU),5.751,7.636
